final params: (10.474920851741004, 7.015911624016667, 4.7180044771837375), loss: 5144.271793251231, initial params: (0, 0, 0), error function: 4
final params: (4.6545690195809435, 2.3533246191297015, 1.3806358740429632), loss: 78.01003376744387, initial params: (0, 0, 0), error function: 4
final params: (2.6347477886201447, 0.5414044333413138, 0.12179888638579725), loss: 7.822769126748738, initial params: (0, 0, 0), error function: 4
final params: (2.360664520788679, 0.33251800019309424, 0.05104043879077062), loss: 20.274769568896648, initial params: (0, 0, 0), error function: 4
final params: (2.360664520788679, 0.33251800019309424, 0.05104043879077062), loss: 20.274769568896648, initial params: (0, 0, 0), error function: 4
final params: (2.360664520788679, 0.33251800019309424, 0.05104043879077062), loss: 20.274769568896648, initial params: (0, 0, 0), error function: 4
final params: (2.3568019699348763, 0.34216454410534336, 0.05420311307271327), loss: 3.530359347005148, initial params: (0, 0, 0), error function: 4
final params: (2.037309580588662, 0.08067443410190762, 0.0034159243406858453), loss: 4.691552047789602e-5, initial params: (0, 0, 0), error function: 7
final params: (3.6593104926946833, 1.1533640872860917, 0.42444558902266194), loss: 28.22760406176217, initial params: (0, 0, 0), error function: 4
final params: (3.6593104926946833, 1.1533640872860917, 0.42444558902266194), loss: 28.22760406176217, initial params: (0, 0, 0), error function: 4
final params: (3.6593104926946833, 1.1533640872860917, 0.42444558902266194), loss: 28.22760406176217, initial params: (0, 0, 0), error function: 4
final params: (2.3568019699348763, 0.34216454410534336, 0.05420311307271327), loss: 3.530359347005148, initial params: (0, 0, 0), error function: 4
final params: (2.3568019699348763, 0.34216454410534336, 0.05420311307271327), loss: 3.530359347005148, initial params: (0, 0, 0), error function: 4, step size: 1.0e-9
final params: (3.6593104926946833, 1.1533640872860917, 0.42444558902266194), loss: 28.22760406176217, initial params: (0, 0, 0), error function: 4, step size: 1.0e-7
final params: (4.1482478332384, 1.369756927065372, 0.5378281797989503), loss: 8.2250929433907, initial params: (0, 0, 0), error function: 4, step size: 1.5e-7
final params: (4.045005678735834, 1.3228150171286546, 0.5123353399560693), loss: 1.727211685233909, initial params: (0, 0, 0), error function: 4, step size: 1.38e-7
final params: (4.149078879610364, 1.370137698687406, 0.5380369656538321), loss: 8.677262444959684, initial params: (0, 0, 0), error function: 4, step size: 1.501e-7
final params: (2.037309580588662, 0.08067443410190762, 0.0034159243406858453), loss: 4.691552047789602e-5, initial params: (0, 0, 0), error function: 7
final params: (2.037309580588662, 0.08067443410190762, 0.0034159243406858453), loss: 4.691552047789602e-5, initial params: (0, 0, 0), error function: 7, step size: 1.0e-22
final params: (2.0080569758871385, 0.00011485665183497792, 2.0147742423782003e-6), loss: 22.770168722244605, initial params: (2, 0, 0), error function: 4, step size: 1.0e-20
final params: (2.004081656771487, 5.834328497316082e-5, 1.0462215546039979e-6), loss: 23.785645073776852, initial params: (2, 0, 0), error function: 4, step size: 1.0e-20
final params: (2.4247384286027507, 1.0859001604862182, 0.5116970471676882), loss: 0.1676546964909905, initial params: (0, 0, 0), error function: 7, step size: 1.0e-9
final params: (2.0355143020104505, 0.0792651878917466, 0.0033053186847684128), loss: 12.058677530485136, initial params: (0, 0, 0), error function: 7, step size: 1.0e-22
final params: (2.3511610277618087, 0.829923854026342, 0.3077725997535397), loss: 0.06645167983891893, initial params: (0, 0, 0), error function: 7, step size: 1.0e-10
final params: (2.0355143020104505, 0.0792651878917466, 0.0033053186847684128), loss: 12.058677530485136, initial params: (0, 0, 0), error function: 7, step size: 1.0e-22
final params: (2.017626349077347, 0.0002479081047361349, 4.864651953334757e-6), loss: 25.639359236303815, initial params: (2, 0, 0), error function: 4, step size: 1.0e-20
final params: (2.0355143020104505, 0.0792651878917466, 0.0033053186847684128), loss: 12.058677530485136, initial params: (0, 0, 0), error function: 7, step size: 1.0e-22
final params: (2.00000606773472, 1.8565849688293098e-7, 7.005071802079637e-9), loss: 0.004844651884312826, initial params: (2, 0, 0), error function: 4, step size: 1.0e-20
final params: (2.0355143020104505, 0.0792651878917466, 0.0033053186847684128), loss: 12.058677530485136, initial params: (0, 0, 0), error function: 7, step size: 1.0e-22
final params: (5.86815713953354e-7, 3.879284866903302e-8, 3.0791319002561994e-9), loss: 0.11937549669776139, initial params: (0, 0, 0), error function: 4, step size: 1.0e-20
final params: (5.86815713953354e-7, 3.879284866903302e-8, 3.0791319002561994e-9), loss: 0.11937549669776139, initial params: (0, 0, 0), error function: 4, step size: 1.0e-20
final params: (5.86815713953354e-7, 3.879284866903302e-8, 3.0791319002561994e-9), loss: 0.11937549669776139, initial params: (0, 0, 0), error function: 4, step size: 1.0e-20
final params: (2.34865389692608, 0.5451878304581096, 0.1344090846689597), loss: 5.4529184306085805e-6, initial params: (0, 0, 0), error function: 4, step size: 1.0e-7
final params: (2.34865389692608, 0.5451878304581096, 0.1344090846689597), loss: 5.4529184306085805e-6, initial params: (0, 0, 0), error function: 4, step size: 1.0e-7
final params: (2.0355143020104505, 0.0792651878917466, 0.0033053186847684128), loss: 12.058677530485136, initial params: (0, 0, 0), error function: 7, step size: 1.0e-22
final params: (2.0360512590738673, 0.030346234384101382, 0.0004756004902345417), loss: 0.8224581171799286, initial params: (0, 0, 0), error function: 4, step size: 1.0e-17
final params: (1.915123997192691, 0.02969136734049214, 0.0004924356750841292), loss: 0.32130402113837114, initial params: (0, 0, 0), error function: 4, step size: 1.0e-17
final params: (1.847817797005682, 0.028828337506882587, 0.00048012740462221513), loss: 0.11337892676676484, initial params: (0, 0, 0), error function: 4, step size: 1.0e-17
